StartTime,EndTime,name,UniqueID,Video Description,video_url,playable_type,order_number,note_content,is_document,quiz_components,question,answer_type,answer,explanation,in_lesson,start_time,end_time
1:15:00,3:30:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,3,"In general, Learnstream will use ""math boldface"" to denote vectors. Thus, \( \mathbf a \) is the vector \( \vec{a} \).",,,,,,,0,75,210
3:30:00,4:40:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,4,"Adding vectors - The sum of two vectors \( \mathbf A \) and \( \mathbf B \) can be found by placing them head-to-tail and drawing the ""resultant"" as shown. This is useful for understanding the geometric significance.",,,,,,,0,210,280
4:40:00,5:50:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,5,"A ""negative"" sign in front of a vector simply means the vector is flipped by \( 180^\circ \).",,,,,,,0,280,350
5:50:00,7:55:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,6,Subtracting vectors can be achieved by adding the negative of the vector you want to subtract.,,,,,,,0,350,475
7:55:00,8:00:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,7,The triangle inequality addresses this idea -- \[ |\mathbf A + \mathbf B| \le |\mathbf A| + |\mathbf B| \],,,,,,,0,475,480
8:00:00,10:30:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,8,"Decomposition of vectors - We can ""project"" a vector onto each axis to get its component in each of the orthogonal axis directions \( \hat{x}, \hat{y}, \hat{z} \). This is called ""vector decomposition.""",,,,,,,0,480,630
10:30:00,11:27:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,9,Any vector \( \mathbf A \) can be decomposed such that \[ \mathbf A = A_x \hat{x} + A_y \hat{y} + A_z \hat{z} \],,,,,,,0,630,687
11:27:00,11:35:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Quiz,10,,,6,What is the magnitude of \( \uvec y \)?,text,1&one,"\( \hat y \) is the unit vector pointing along the y-axis. Because it is a unit vector, it has unit length, or magnitude of 1. Thus, \[ |\hat y| = 1 \]",0,687,695
11:35:00,12:30:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,11,The magnitude of a vector \( \mathbf A \) is just \[ |A| = \sqrt{A_x^2 + A_y^2 + A_z^2} \],,,,,,,0,695,750
12:30:00,12:50:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Quiz,12,,,133,What is the magnitude of \( \mathbf B = 3\hat x - 2\hat y + 6\hat z \)? (number only),text,7&seven,"The magnitude of a vector is given by \( |\mathbf B| = \sqrt{B_x^2 + B_y^2 + B_z^2} \). Thus, we compute \[ |\mathbf B| = \sqrt{3^2 + (-2)^2 + 6^2} = \sqrt{49} = 7 \]",0,750,770
12:50:00,13:45:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,13,The magnitude of \( \mathbf A = 3 \uvec x - 5 \uvec y + 6 \uvec z \) is just \[ |\mathbf A| = \sqrt{3^2 + (-5)^2 + 6^2} = \sqrt{70} \] ,,,,,,,0,770,825
13:45:00,END,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,14,End of Lesson,,,,,,,0,825,826
13:50:00,14:35:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,1,Multiplication of vectors,,,,,,,0,830,875
14:35:00,15:45:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,2,"The dot product (sometimes called ""scalar product"") is defined as \[ \mathbf A \cdot \mathbf B = A_x B_x + A_y B_y + A_z B_z \] Intuitively, the dot product is multiplying parallel components of vectors, and the result is always a scalar.",,,,,,,0,875,945
15:45:00,17:40:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,3,"The dot product can also be found by \[ \mathbf A \cdot \mathbf B = |A||B| \cos \theta \] where \( \theta \) is the angle between the two vectors when they are put tail to tail. Both above definitions are equivalent, and sometimes one is easier to compute than the other.",,,,,,,0,945,1060
17:40:00,17:50:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Quiz,4,,,8,Let \( \mathbf A = 3 \hat x - 2\hat y + 5\hat z \) and \( \mathbf B = 1 \hat x + 1\hat y - 4 \hat z \). What is \( \mathbf A \cdot \mathbf B \)? (number only),text,-19&- 19,We compute the dot product as \( \mathbf A \cdot \mathbf B = A_x B_x + A_y B_y + A_z B_z \) and so \[ \mathbf A \cdot \mathbf B = 3 \cdot 1 - 2 \cdot 1 + 5\cdot (-4) = -19 \],0,1060,1070
17:50:00,19:30:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,5,Example,,,,,,,0,1070,1170
19:30:00,20:00:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,6,The dot product of perpendicular vectors is always 0,,,,,,,0,1170,1200
20:00:00,23:55:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,7,Cross product explanation.,,,,,,,0,1200,1435
23:55:00,25:00:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,8,Geometric definition of cross product - \[ \mathbf A \times \mathbf B = |A||B| \sin \theta \],,,,,,,0,1435,1500
25:00:00,27:15:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,9,Right hand rule for determining the direction of a cross product. The result of \( \mathbf A \times \mathbf B \) is *always* perpendicular to both \( \mathbf A \) and \( \mathbf B \)!,,,,,,,0,1500,1635
27:15:00,29:00:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,10,\[ \mathbf A \times \mathbf B = - \mathbf B \times \mathbf A \],,,,,,,0,1635,1740
29:00:00,30:19:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,11,"Difference between left-handed and right-handed coordinate systems is very important! We always use a right-handed coordinate system, such that \[ \hat{x} \times \hat{y} = + \hat{z} \]",,,,,,,0,1740,1819
30:19:00,30:20:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Quiz,12,,,131,How can we test if two vectors are perpendicular?,self-rate,Two vectors are perpendicular if their dot product is zero.,"We can see this from the geometric definition of the dot product -- \[ \mathbf A \cdot \mathbf B = |\mathbf A| |\mathbf B| \cos \theta \] The cosine will be zero for \( \theta = 90^\circ \) or \( \theta = 270^\circ \), both of which produce perpendicular vectors.",0,1819,1820
30:20:00,30:21:00,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Quiz,13,,,134,Let \( \mathbf A = 5 \uvec x + 7 \uvec y - 2 \uvec z \). What is the z-component of \( 5 \mathbf A \)?,text,-10&- 10,"Multiplying a vector by a scalar will ""scale"" the vector -- \[ 5 \mathbf A = 5 \cdot 5 \uvec x + 5 \cdot 7 \uvec y - 5 \cdot 2 \uvec z  = 25 \uvec x + 35 \uvec y - 10 \uvec z \] Thus, the z-component is -10.",0,1820,1821
30:21:00,END,Multiplication of Vectors,4,MIT - Multiplication of Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,14,End of Lesson,,,,,,,0,1821,1822
0:03:00,1:32:00,Conservation of momentum example - Ice skater,5,Khan - Example - Ice skater throws a ball,http://www.youtube.com/watch?v=vPkkCOlGND4,Note,1,"Problem setup: An ice skater is on an ice rink, holding a \( 0.15 \text{ kg } \) ball. She throws the ball exactly straight forward, with a velocity of \( 35 \text{ m/s } \). The combined mass of the skater and the ball is \( 50 \text{ kg }\). We want to calculate her velocity after she throws the ball.",,,,,,,0,3,92
1:32:00,1:50:00,Conservation of momentum example - Ice skater,5,Khan - Example - Ice skater throws a ball,http://www.youtube.com/watch?v=vPkkCOlGND4,Note,2,We define our coordinate system -- \( +\hat{x} \) is to the right.,,,,,,,0,92,110
1:50:00,1:57:00,Conservation of momentum example - Ice skater,5,Khan - Example - Ice skater throws a ball,http://www.youtube.com/watch?v=vPkkCOlGND4,Quiz,3,,,37,Why is momentum conserved in this problem?,self-rate,"Momentum is conserved because there are no *external* forces acting on the system. The ice skater does exert a force on the ball, but the ""system"" we are conserving momentum in includes both the skater and the ball (and thus that force is not ""external"" to the system). We are also only considering momentum in the \( \hat{x} \) direction, thus we can neglect the normal force and the gravitational force, which act in the \( \hat{y} \) direction. Because the skater is on ice, the frictional force (which might act in the \( \hat{x} \) direction) is negligible. ",,1,110,117
1:57:00,2:12:00,Conservation of momentum example - Ice skater,5,Khan - Example - Ice skater throws a ball,http://www.youtube.com/watch?v=vPkkCOlGND4,Quiz,4,,,85,What is the initial momentum of the system? (number only!),text,0&zero&none,"Because all components of the system are at rest (ie, their velocity is zero), the initial momentum is just zero: \[ p = m_{\text{skater}} v_{\text{skater}} + m_{\text{ball}} v_{\text{ball}} = 0 \]",1,117,132
2:12:00,3:40:00,Conservation of momentum example - Ice skater,5,Khan - Example - Ice skater throws a ball,http://www.youtube.com/watch?v=vPkkCOlGND4,Note,5,"It is usually best to work symbolically, and plug in numbers at the end. This reduces rounding errors, and allows you to see the abstract relationships more easily.",,,,,,,0,132,220
3:40:00,4:00:00,Conservation of momentum example - Ice skater,5,Khan - Example - Ice skater throws a ball,http://www.youtube.com/watch?v=vPkkCOlGND4,Quiz,6,,,38,What is the final momentum for the system?,self-rate,"The final momentum is still zero, because momentum is conserved! Conservation of momentum means \( p_i = p_f \).",,1,220,240
4:00:00,5:20:00,Conservation of momentum example - Ice skater,5,Khan - Example - Ice skater throws a ball,http://www.youtube.com/watch?v=vPkkCOlGND4,Note,7," \[ v_{f, \text{skater}} = - \frac{v_{f,\text{ball}} m_{\text{ball}}}{m_{\text{skater}}} \] ",,,,,,,0,240,320
5:20:00,5:31:00,Conservation of momentum example - Ice skater,5,Khan - Example - Ice skater throws a ball,http://www.youtube.com/watch?v=vPkkCOlGND4,Quiz,8,,,57,Why does the skater have a much slower final velocity than the ball does?,self-rate,"By Newton's third law, we know the force exerted on the ball by the skater and the force exerted on the skater by the ball are equal and opposite. Because the skater is much more massive than the ball, by Newton's second law ( \( F = m a \) ) she must have a smaller acceleration than the ball for the equivalent force!",,1,320,331
5:31:00,5:59:00,Conservation of momentum example - Ice skater,5,Khan - Example - Ice skater throws a ball,http://www.youtube.com/watch?v=vPkkCOlGND4,Note,9,"You can think about Newton's third law in terms of conservation of momentum. If two bodies interact with each other in the absence of external forces, momentum must be conserved. If Object 2 experiences a change in momentum \( \Delta p_2 \) from the force exerted by Object 1, to conserve momentum it must be that Object 1 experiences a change in momentum \( \Delta p_1 = - \Delta p_2 \). But, this change in momentum must arise from a force exerted by Object 2, and since the changes in momentum are equal and opposite, the forces that produced them must also be equal and opposite as is required by Newton's third law!",,,,,,,0,331,359
5:59:00,END,Conservation of momentum example - Ice skater,5,Khan - Example - Ice skater throws a ball,http://www.youtube.com/watch?v=vPkkCOlGND4,Note,10,End of Lesson,,,,,,,0,359,360
0:02:00,0:50:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,1,Beginning of lesson on Newton's Laws,,,,,,,0,2,50
0:50:00,1:00:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,2,Newton's first law originated with Galileo's Law of Inertia.,,,,,,,0,50,60
1:00:00,2:08:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,3,"Newton's first law: **Bodies at rest will remain at rest, and bodies in motion will continue to move at constant velocity along a straight line unless acted upon by an external force.**",,,,,,,0,60,128
2:08:00,3:40:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,4,"Newton's first law does not hold in ""non-inertial"" reference frames, that is, reference frames that are themselves accelerating.",,,,,,,0,128,220
3:40:00,4:20:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,5,"Your reference frame (standing on earth) is actually non-inertial, because the earth is rotating about its axis and is also orbiting the sun, both of which give rise to centripetal accelerations. These centripetal accelerations, however, are very small.",,,,,,,0,220,260
4:20:00,7:00:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,6,"To estimate the size of the centripetal acceleration at the equator, we calculate: \[ a_c = \omega^2 R \] we can find \( \omega \) as \[ \omega = \frac{2 \pi}{T} = \frac{2 \pi}{3600 \units{s/hr} \cdot 24\units{hr}} \approx 7.3 \times 10^{-5} \units{rad/s} \] and \( R \approx 6.4 \times 10^6 \units{m} \) is the radius of the earth. Thus, we find \[ a_c \approx 0.034 \unitsf{m}{s^2} \] which is extremely small -- compare \( g \approx 9.8 \units{m/s} \). Thus, reference frames on earth are practically inertial.",,,,,,,0,260,420
7:00:00,8:05:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,7,Experiment demonstrating Newton's second law.,,,,,,,0,420,485
8:05:00,8:30:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,8,\( m_1 a_1 = m_2 a_2 \) means that the same force on an object with 10 times the mass will produce 1/10th the acceleration.,,,,,,,0,485,510
8:30:00,9:20:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,9,"Newton's second law: \[ \mathbf F = m \mathbf a \] a net force on an object produces an acceleration in the direction of that force, proportional to the mass of the object.",,,,,,,0,510,560
9:20:00,9:40:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,10,"Force has units \[ \units{\left[ mass \right] \cdot \left[ acceleration \right]} \rightarrow \unitsf{kg\ m}{s^2} \] This is called a ""Newton"".",,,,,,,0,560,580
9:40:00,11:20:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,11,Newton's second law also only holds in inertial reference frames.,,,,,,,0,580,680
11:20:00,12:30:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,12,"Because the acceleration due to earth's gravity (near the surface) is a constant \( g = 9.8 \units{m/s^2} \), we can write a *force* due to gravity as \[ F_g = m g \] This force is always directed down towards the earth's center.",,,,,,,0,680,750
12:30:00,13:00:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,13,"A ball of mass \( m \) resting on a table will experience a gravitational force \( F_g = m g \). Because it is not accelerating, we know there must be no net force on the ball. The table must exert a ""normal force"" \( F_N = - mg \)  to balance the gravitational force. Thus, \( F_g + F_N = 0 \), and the ball is not accelerating.",,,,,,,0,750,780
13:00:00,13:20:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,14,"The ""normal force"" is generated when two objects are in contact with each other. It is always directed perpendicular to the surface of contact (*normal* is a synonym for *perpendicular*).",,,,,,,0,780,800
13:20:00,14:12:00,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,15,"Newton's second law implies that if we know the mass of an object and the forces acting on it, the acceleration is uniquely determined. We do *not* need to know anything about its speed! Thus, Newton's 2nd law holds equally well for a stationary object as for one in constant motion. Disclaimer: when velocities near the speed of light, Newtonian mechanics no longer hold and we must use relativity.",,,,,,,0,800,852
14:12:00,END,Newton's 1st and 2nd Laws,6,MIT - Newton's 1st and 2nd Laws (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,16,End of MIT Lecture on Newton's 1st and 2nd Laws,,,,,,,0,852,853
14:20:00,14:35:00,Newton's 3rd Law,7,MIT - Newton's 3rd Law (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,1,"Newton's Third Law: If one object exerts a force on another, the other exerts the same force, in the opposite direction, on the one.",,,,,,,0,860,875
14:35:00,14:50:00,Newton's 3rd Law,7,MIT - Newton's 3rd Law (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,2,"Students can often repeat Newton's third law, but don't really understand when it comes time to do a problem. *Any* time two bodies exert a force on each other, the forces are always equal and opposite!",,,,,,,0,875,890
14:50:00,15:45:00,Newton's 3rd Law,7,MIT - Newton's 3rd Law (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,3,"""Action"" = - ""Reaction""",,,,,,,0,890,945
15:45:00,16:00:00,Newton's 3rd Law,7,MIT - Newton's 3rd Law (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,4,"Newton's Third law *always* holds, whether objects are accelerating or not!",,,,,,,0,945,960
16:00:00,17:12:00,Newton's 3rd Law,7,MIT - Newton's 3rd Law (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,5,"Example of Newton's 2nd law; Force on two blocks, find acceleration of whole system",,,,,,,0,960,1032
17:12:00,18:23:00,Newton's 3rd Law,7,MIT - Newton's 3rd Law (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,6,"Example of Newton's 2nd law, to find the force \( F_{12} \)",,,,,,,0,1032,1103
18:23:00,19:30:00,Newton's 3rd Law,7,MIT - Newton's 3rd Law (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,7,"Example of Newton's 2nd law, to find the force \( F_{21} \)",,,,,,,0,1103,1170
19:30:00,20:27:00,Newton's 3rd Law,7,MIT - Newton's 3rd Law (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,8,These forces are consistent with Newton's 3rd law!,,,,,,,0,1170,1227
20:27:00,SKIP,Newton's 3rd Law,7,MIT - Newton's 3rd Law (Lecture 6),http://www.youtube.com/watch?v=M_8w-dD4RBE,Note,9,End of MIT Lecture on Newton's 3rd Law.,,,,,,,0,1227,1228
0:00:00,1:38:00,Newton's 3rd Law,7,MIT - Newton's 3rd Law (Lecture 6),http://www.youtube.com/watch?v=8bTdMmNZm2M,Note,10,Beginning of misconceptions video about Newton's 3rd Law.,,,,,,,0,0,98
1:38:00,1:59:00,Newton's 3rd Law,7,MIT - Newton's 3rd Law (Lecture 6),http://www.youtube.com/watch?v=8bTdMmNZm2M,Note,11,The force attracting the moon to the earth is exactly the same size as the force attracting the earth to the moon. This is a consequence of Newton's third law!,,,,,,,0,98,119
