UniqueID,Category,name,description,Dependency (UniqueID),For more information [just append this to the description]
1,Antiderivatives,What is an antiderivative?,"Let \(f(x)\) be continuous on \([a,b]\). If \(G(x)\) is continuous on \([a,b]\) and \(G'(x)=f(x)\) for all \(x\in (a,b)\), then \(G\) is called an **antiderivative** of \(f\). "
54,Fundamental theorem of calculus,What notation indicates that a definite integral is being evaluated with respect to a variable on a particular interval?,"We often write \(\displaystyle \int^b_a \! f(t)\, dt=F(t)|^b_a\) or \(\displaystyle \int^b_a \! f(t)\, dt=F(t)|^{t=b}_{t=a}\) to emphasize the variable with respect to which we are integrating."
55,Fundamental theorem of calculus,"What is the value of a definite integral evaluated on the interval \([a,a]\)?","\(\displaystyle \int^a_a \! f(x)\, dx=0\)."
56,Fundamental theorem of calculus,"What is the value of a definite integral evaluated on the interval \([a,b]\) in terms of the same integral evaluated on the interval \([b,a]\)?","\[\int^a_b f(x)\, dx=-\int^b_a f(x)\, dx.\] "
57,Fundamental theorem of calculus,"How can the definite integral \(\displaystyle\int^b_a [\alpha f(x)+\beta g(x)]\, dx\) be rewritten?","\[\int^b_a [\alpha f(x)+\beta g(x)]\, dx=\alpha \int^b_a f(x)\, dx+\beta \int^b_a g(x)\, dx.\] "
58,Convergence tests for infinite spaces,When does a sequence converge to a limit?,"Let \begin{align} s_0 & = & a_0 \\ s_1 & = & a_1 \\ & \vdots & \\ s_n & = & \sum_{k=0}^{n} a_k \\ & \vdots & \end{align} If the sequence \(\{ s_n \}\) of **partial sums** converges to a limit \(L\), then the series is said to **converge** to the **sum** \(L\) and we write \[ \sum_{k=0}^{\infty}a_k = L. \] (For \(j \ge 0\), \(\sum\limits^{\infty}_{k=0} a_k\) converges if and only if \(\sum\limits_{k=j}^{\infty} a_k\) converges, so in discussing convergence we often just write \(\sum a_k\).)"
59,Convergence tests for infinite spaces,Does \(\sum_{k=0}^{\infty}x^k\) converge or diverge?,"Consider the **geometric series** \[ \sum_{k=0}^{\infty} x^k. \] The \(n^{th}\) partial sum is \[ s_n = 1 + x + x^{2} + \cdots + x^{n}. \] Multiplying both sides by \(x\), \[ xs_n = x + x^{2} + x^{3} + \cdots + x^{n+1}. \] Subtracting the second equation from the first, \[ (1-x)s_n = 1-x^{n+1}, \] so for \(x \not= 1\), \[ s_n = \frac{1-x^{n+1}}{1-x}. \] For \(|x| < 1\), \[ \lim_{n \rightarrow \infty} s_n = \frac{1}{1-x}. \] It is easy to see that \(\sum\limits_{k=0}^{\infty}x^{k}\) diverges for \(|x| \ge 1\). Thus \(\sum\limits_{k=0}^{\infty}x^{k} = \frac{1}{1-x}\) for \(|x| < 1\) and diverges for \(|x| \ge 1\)."
60,Convergence tests for infinite spaces,"If \(\sum_{k=0}^{\infty}x^k\) converges, then what is known about \(k\)?", \(\sum\limits_{k=0}^{\infty}x^{k} = \frac{1}{1-x}\) for \(|x| < 1\).
61,Convergence tests for infinite spaces,"If \(\sum_{k=0}^{\infty}x^k\) diverges, then what is known about \(k\)?",\(\sum\limits_{k=0}^{\infty}x^{k}\) diverges for \(|x| \ge 1\).
62,Convergence tests for infinite spaces,What is known about \(\sum\limits_{k=0}^{\infty}a_k\) if \(\lim\limits_{k \rightarrow \infty}a_k\neq 0\)?,"Divergence test: If \(\lim\limits_{k \rightarrow \infty} a_k \not= 0\), then \(\sum\limits_{k=0}^{\infty}a_k\) diverges."
63,Convergence tests for infinite spaces,"If \(f(x)\) is continuous, decreasing, and positive for \(x\ge 1\) and \(\sum\limits_{k=1}^{\infty}f(k)\) converges, then what is known about \(\int\limits_{1}^{\infty} f(x)dx\)?","Integral test: Let \(f(x)\) be continuous, decreasing, and positive for \(x \ge 1\). Then \(\sum\limits_{k=1}^{\infty}f(k)\) converges if and only if \(\int\limits_{1}^{\infty} f(x)dx\) converges. "
64,Convergence tests for infinite spaces,"If \(f(x)\) is continuous, decreasing, and positive for \(x\ge 1\) and \(\int\limits_{1}^{\infty} f(x)dx\) converges, then what is known about \(\sum\limits_{k=1}^{\infty}f(k)\)?","Integral test: Let \(f(x)\) be continuous, decreasing, and positive for \(x \ge 1\). Then \(\sum\limits_{k=1}^{\infty}f(k)\) converges if and only if \(\int\limits_{1}^{\infty} f(x)dx\) converges. "
65,Convergence tests for infinite spaces,"Let \(\sum a_k\) and \(\sum b_k\) be series with non-negative terms. If \(a_k \le b_k\) for all \(k\) sufficiently large, then if \(\sum b_k\) converges, what can be said about \(\sum a_k\)?","Comparison test: Let \(\sum a_k\) and \(\sum b_k\) be series with non-negative terms. If \(a_k \le b_k\) for all \(k\) sufficiently large, then if \(\sum b_k\) converges, \(\sum a_k\) also converges. Informally, if the ""larger"" series converges, so does the ""smaller."""
66,Convergence tests for infinite spaces,"Let \(\sum a_k\) and \(\sum b_k\) be series with non-negative terms. If \(a_k \le b_k\) for all \(k\) sufficiently large, then if \(\sum a_k\) diverges, what can be said about \(\sum b_k\)?","Comparison test: Let \(\sum a_k\) and \(\sum b_k\) be series with non-negative terms. If \(a_k \le b_k\) for all \(k\) sufficiently large, then if \(\sum a_k\) diverges, \(\sum b_k\) also diverges. Informally, if the ""smaller"" series diverges, so does the ""larger."" "
67,Convergence tests for infinite spaces,"Let \(\sum a_k\) and \(\sum b_k\) be series with non-negative terms. If \(a_k \le b_k\) for all \(k\) sufficiently large, then if \(\sum a_k\) converges, what can be said about \(\sum b_k\)?","Comparison test: Let \(\sum a_k\) and \(\sum b_k\) be series with non-negative terms. If \(a_k \le b_k\) for all \(k\) sufficiently large, then if \(\sum b_k\) converges, \(\sum a_k\) also converges. Informally, if the ""larger"" series converges, so does the ""smaller."" However, we cannot say whether \(\sum b_k\) converges knowing only that \(\sum a_k\) converges because \(\sum a_k\) is smaller."
68,Convergence tests for infinite spaces,"Let \(\sum a_k\) and \(\sum b_k\) be series with non-negative terms. If \(a_k \le b_k\) for all \(k\) sufficiently large, then if \(\sum b_k\) diverges, what can be said about \(\sum a_k\)?","Comparison test: Let \(\sum a_k\) and \(\sum b_k\) be series with non-negative terms. If \(a_k \le b_k\) for all \(k\) sufficiently large, then if \(\sum a_k\) diverges, \(\sum b_k\) also diverges. Informally, if the ""smaller"" series diverges, so does the ""larger."" However, we cannot say whether \(\sum a_k\) diverges knowing only that \(\sum b_k\) diverges because \(\sum b_k\) is larger."
69,Convergence tests for infinite spaces,"Let \(\sum a_k\) and \(\sum b_k\) be series with positive terms. If \[ \lim_{k \rightarrow \infty}\frac{a_k}{b_k} = L \] where \(0 < L < \infty\), then how does the convergence of \(\sum a_k\) relate to the convergence of \(\sum b_k\)?",Limit comparison test: Let \(\sum a_k\) and \(\sum b_k\) be series with positive terms. If \[ \lim_{k \rightarrow \infty}\frac{a_k}{b_k} = L \] where \(0 < L < \infty\) then \(\sum a_k\) and \(\sum b_k\) either both converge or both diverge.
70,Convergence tests for infinite spaces,"Let \(\sum a_k\) be a series with positive terms and suppose that \[ \lim_{k \rightarrow \infty}\frac{a_{k+1}}{a_k} = L. \] If \(L < 1\), does \(\sum a_k\) converges or diverge?","Ratio test: Let \(\sum a_k\) be a series with positive terms and suppose that \[ \lim_{k \rightarrow \infty}\frac{a_{k+1}}{a_k} = L. \] If \(L < 1\), then \(\sum a_k\) converges."
71,Convergence tests for infinite spaces,"Let \(\sum a_k\) be a series with positive terms and suppose that \[ \lim_{k \rightarrow \infty}\frac{a_{k+1}}{a_k} = L. \] If \(L = 1\), does \(\sum a_k\) converges or diverge?","Ratio test: Let \(\sum a_k\) be a series with positive terms and suppose that \[ \lim_{k \rightarrow \infty}\frac{a_{k+1}}{a_k} = L. \] If \(L = 1\), then the test is inconclusive."
72,Convergence tests for infinite spaces,"Let \(\sum a_k\) be a series with positive terms and suppose that \[ \lim_{k \rightarrow \infty}\frac{a_{k+1}}{a_k} = L. \] If \(L > 1\), does \(\sum a_k\) converges or diverge?","Ratio test: Let \(\sum a_k\) be a series with positive terms and suppose that \[ \lim_{k \rightarrow \infty}\frac{a_{k+1}}{a_k} = L. \] If \(L > 1\), then \(\sum a_k\) diverges."
73,Convergence tests for infinite spaces,"Let \(\sum a_k\) be a series with non-negative terms. If \[ \lim_{k \rightarrow \infty} (a_k)^{\frac{1}{k}} < 1 \], does \(\sum a_k\) converge or diverge? ","Root test: Let \(\sum a_k\) be a series with non-negative terms and suppose that \[ \lim_{k \rightarrow \infty} (a_k)^{\frac{1}{k}} = L. \] If \(L < 1\), then \(\sum a_k\) converges."
74,Convergence tests for infinite spaces,"Let \(\sum a_k\) be a series with non-negative terms. If \[ \lim_{k \rightarrow \infty} (a_k)^{\frac{1}{k}} = 1 \], does \(\sum a_k\) converge or diverge? ","Root test: Let \(\sum a_k\) be a series with non-negative terms and suppose that \[ \lim_{k \rightarrow \infty} (a_k)^{\frac{1}{k}} = L. \] If \(L = 1\), then the test is inconclusive."
75,Convergence tests for infinite spaces,"Let \(\sum a_k\) be a series with non-negative terms. If \[ \lim_{k \rightarrow \infty} (a_k)^{\frac{1}{k}} > 1 \], does \(\sum a_k\) converge or diverge? ","Root test: Let \(\sum a_k\) be a series with non-negative terms and suppose that \[ \lim_{k \rightarrow \infty} (a_k)^{\frac{1}{k}} = L. \] If \(L > 1\), then \(\sum a_k\) diverges."
76,Convergence tests for infinite spaces,"For \[ \sum_{k=0}^{\infty}(-1)^{k}a_k \] where \(a_k > 0\) for all \(k \ge 0\), if \(a_{k+1} < a_k\) for all \(k\) and \(\lim\limits a_k = 0\), then does \(\sum\limits_{k=0}^{\infty}(-1)^{k}a_k\) converge or diverge?","Alternating series test: Consider the **alternating series** \[ \sum_{k=0}^{\infty}(-1)^{k}a_k \] where \(a_k > 0\) for all \(k \ge 0\). If \(a_{k+1} < a_k\) for all \(k\) and \(\lim\limits a_k = 0\), then \(\sum\limits_{k=0}^{\infty}(-1)^{k}a_k\) converges."
77,Integration by parts,What property allows the integration by parts method for computing integrals?,"Integration by parts is derived from the product rule of differentiation. * Start with \((f(x)g(x))'=f(x)g'(x)+f'(x)g(x)\). * Integrate both sides to get \(\displaystyle f(x)g(x)=\int\! f(x)g'(x)\, dx +\int\! f'(x)g(x)\, dx\). (We need not include a constant of integration on the left, since the integrals on the right will also have integration constants.) * Solve for \(\displaystyle\int\! f(x)g'(x)\, dx\), obtaining \[\int f(x)g'(x)\, dx=f(x)g(x)-\int f'(x)g(x)\, dx.\] "
78,Integration by parts,How is an integral computed using integration by parts?,"Suppose we have the integral  \(\displaystyle\int\! f(x)g'(x)\, dx\). Then \[\int f(x)g'(x)\, dx=f(x)g(x)-\int f'(x)g(x)\, dx.\] We often express the Integration by Parts formula as follows: Let \[ \begin{array}{ll} u = f(x)\qquad\qquad & dv = g'(x)\, dx\\ du = f'(x)\, dx & v = g(x) \end{array} \] Then the formula becomes \[\int u\, dv=uv-\int v\, du.\] To integrate by parts, strategically choose \(u\), \(dv\) and then apply the formula."
79,Integration by parts,"How should \(u\) and \(dv\) be chosen to integrate \(\displaystyle\int\! u\, dv\) by parts? ","Choose \(u\), \(dv\) in such a way that: 1. \(u\) is easy to _differentiate_. 2. \(dv\) is easy to _integrate_. 3. \(\displaystyle\int\! v\, du\) is easier to compute that \(\displaystyle\int\! u\, dv\)."
80,LHopitals rule," If both the numerator and the denominator are finite at \(a\) and \(g(a)\neq 0\), then what is \[\lim_{x\to a}\, \frac{f(x)}{g(x)} \]?","Consider the limit \[\lim_{x\to a}\, \frac{f(x)}{g(x)}.\] If both the numerator and the denominator are finite at \(a\) and \(g(a)\neq 0\), then \[\lim_{x\to a}\, \frac{f(x)}{g(x)}=\frac{f(a)}{g(a)}.\]"
81,LHopitals rule," If both the numerator and the denominator are zero at \(a\), then what is \[\lim_{x\to a}\, \frac{f(x)}{g(x)} \]?","L'H&ocirc;pital's Rule for \(\displaystyle\frac{0}{0}\): Suppose \(\lim f(x)=\lim g(x)=0\).  Then * If \(\displaystyle \lim\, \frac{f'(x)}{g'(x)}=L\), then \(\displaystyle \lim\, \frac{f(x)}{g(x)}=\lim \frac{f'(x)}{g'(x)}=L\). * If \(\displaystyle \lim\, \frac{f'(x)}{g'(x)}\) tends to \(+\infty\) or \(-\infty\) in the limit, then so does \(\displaystyle\frac{f(x)}{g(x)}\)."
82,LHopitals rule," If both the numerator and the denominator are infinite at \(a\), then what is \[\lim_{x\to a}\, \frac{f(x)}{g(x)} \]?","L'H&ocirc;pital's Rule for \(\displaystyle\frac{\infty}{\infty}\): Suppose \(\lim f(x)\) and \(\lim g(x)\) are both infinite. Then * If \(\displaystyle \lim\, \frac{f'(x)}{g'(x)}=L\), then \(\displaystyle \lim\, \frac{f(x)}{g(x)}=\lim \frac{f'(x)}{g'(x)}=L\). * If \(\displaystyle \lim\, \frac{f'(x)}{g'(x)}\) tends to \(+\infty\) or \(-\infty\) in the limit, then so does \(\displaystyle\frac{f(x)}{g(x)}\). "
83,Limit definition of the derivative,What is the limit definition of a derivative?,We define \(f'(x) = \displaystyle\lim_{\Delta x\to 0}\frac{f(x+\Delta x)-f(x)}{\Delta x}\).
84,Limit definition of the derivative,How is the limit definition of a derivative derived?,"The geometric meaning of the derivative \[f'(x)=\frac{df(x)}{dx}\] is the slope of the line tangent to \(y=f(x)\) at \(x\). Let's look for this slope at \(P\): The **secant** line through \(P\) and \(Q\) has slope \[\frac{f(x+\Delta x)-f(x)}{(x+\Delta x)-x}=\frac{f(x+\Delta x)-f(x)}{\Delta x}.\] We can approximate the **tangent** line through \(P\) by moving \(Q\) towards \(P\), decreasing \(\Delta x\). In the limit as \(\Delta x\to 0\), we get the tangent line through \(P\) with slope \[\lim_{\Delta x\to 0} \frac{f(x+\Delta x)-f(x)}{\Delta x}.\] We define \[f'(x)=\lim_{\Delta x\to 0}\frac{f(x+\Delta x)-f(x)^{\small\textrm{*}}}{\Delta x}.\] If the limit as \(\Delta x \to 0\) at a particular point does not exist, \(f'(x)\) is undefined at that point. "
85,Limit definition of the derivative,What is \(f'(x)\) if \[f'(x)=\lim_{\Delta x\to 0}\frac{f(x+\Delta x)-f(x)^{\small\textrm{*}}}{\Delta x}\] and the limit as \(\Delta x \to 0\) at a particular point \(x\) does not exist?,\(f'(x)\) is undefined at that point.
86,Limit definition of the derivative,"If \(f\) is differentiable at \(x_0\), then what is known about the continuity of \(f\) at \(x_0\)? ","If \(f\) is differentiable at \(x_0\), then \(f\) is continuous at \(x_0\). "
87,Limit definition of the derivative,How are properties of derivatives most often derived?,"Properties of derivatives are often derived using the limit definition of a derivative,  \(f'(x) = \displaystyle\lim_{\Delta x\to 0}\frac{f(x+\Delta x)-f(x)}{\Delta x}\)."
88,Mean value theorem,"What is known to be true for a function differentiable on \((a,b)\) with \(f(a)=0\) and \(f(b)=0\) between those points? ","Rolle's theorem: Let \(f\) be differentiable on \((a,b)\) and continuous on \([a,b]\). If \(f(a)=f(b)=0\), then there is at least one point \(c\) in \((a,b)\) for which \(f'(c)=0\). More broadly, somewhere between two zeros of a non-constant continuous function \(f\),the function must change direction."
89,Mean value theorem,What is an example of a function where Rolle's theorem does not apply due to discontinuity at an endpoint?,"For example, a function that is increasing in \([a,b)\) such that \(f'(x)>0\) in \([a,b)\) and then has a jump discontinuity at \(b\)."
90,Mean value theorem,What is an example of a function where Rolle's theorem does not apply due to non-differentiability?,"For example, a function whose only change in direction in \((a,b)\) occurs at a cusp point (where the derivative is undefined)."
91,Mean value theorem,What is the mean value theorem?,"Let \(f\) be differentiable on \((a,b)\) and continuous on \([a,b]\). Then there is at least one point \(c\) in \((a,b)\) for which \[f'(c)=\frac{f(b)-f(a)}{b-a}.\] Here, \(f'(c)\) is the slope of the tangent at \(c\), while \(\displaystyle \frac{f(b)-f(a)}{b-a}\) is the slope of the secant through \(a\) and \(b\). Intuitively, we see that if we translate the secant line in the figure upwards, it will eventually just touch the curve at the single point \(c\) and will be tangent at \(c\)."
